local_path,remote_url,repo_name
C:\gitlab\cloud-services\gitlab-cicd-templates,https://gitlab.transics-cicd.aws.zf.com/cloud-services/shared/gitlab-ci/gitlab-cicd-templates.git,gitlab-cicd-templates
C:\gitlab\cloud-services\terraform-module-aws-api-gateway-lambda,https://gitlab.transics-cicd.aws.zf.com/cloud-services/shared/terraform/terraform-module-aws-api-gateway-lambda.git,terraform-module-aws-api-gateway-lambda
C:\gitlab\cloud-services\zf-helm-odyssey,https://gitlab.transics-cicd.aws.zf.com/cloud-services/shared/helm/zf-helm-odyssey.git,zf-helm-odyssey
C:\gitlab\courses\terraform\Getting-Started-Terraform,https://github.com/ned1313/Getting-Started-Terraform,Getting-Started-Terraform
C:\gitlab\docs\test-documentation,https://gitlab.transics-cicd.aws.zf.com/core/playground/cooper-playground/test-setup/test-documentation.git,test-documentation
C:\gitlab\libraries\mapbox-gl-js,https://github.com/mapbox/mapbox-gl-js.git,mapbox-gl-js
C:\gitlab\libraries\react-map-gl,https://github.com/visgl/react-map-gl.git,react-map-gl
C:\gitlab\mobile\app-penelope-reactnative,https://gitlab.transics-cicd.aws.zf.com/mobile/app-penelope-reactnative.git,app-penelope-reactnative
C:\gitlab\mobile\app-penext,https://gitlab.transics-cicd.aws.zf.com/mobile/app-penext.git,app-penext
C:\gitlab\mobile\cargo-app-automation,https://gitlab.transics-cicd.aws.zf.com/mobile/cargo-app-automation.git,cargo-app-automation
C:\gitlab\mobile\cargo-app-bose-automation,https://gitlab.transics-cicd.aws.zf.com/mobile/cargo-app-bose-automation.git,cargo-app-bose-automation
C:\gitlab\mobile\core-drivermobile-bff,https://gitlab.transics-cicd.aws.zf.com/core/mobile/core-drivermobile-bff.git,core-drivermobile-bff
C:\gitlab\mobile\core-mobilepush-bff,https://gitlab.transics-cicd.aws.zf.com/core/mobile/core-mobilepush-bff.git,core-mobilepush-bff
C:\gitlab\mobile\flipper\react-query-native-devtools,https://github.com/bgaleotti/react-query-native-devtools.git,react-query-native-devtools
C:\gitlab\mobile\framework-question-path-engine,https://gitlab.transics-cicd.aws.zf.com/mobile/framework-question-path-engine.git,framework-question-path-engine
C:\gitlab\mobile\framework-reactnative-component-lib,https://gitlab.transics-cicd.aws.zf.com/mobile/framework-reactnative-component-lib.git,framework-reactnative-component-lib
C:\gitlab\mobile\react-native-lib,https://gitlab.transics-cicd.aws.zf.com/mobile/react-native-lib.git,react-native-lib
C:\gitlab\mobile\react-native-permissions,https://github.com/zoontek/react-native-permissions.git,react-native-permissions
C:\gitlab\mobile\scalar-app-automation,https://gitlab.transics-cicd.aws.zf.com/mobile/scalar-app-automation.git,scalar-app-automation
C:\gitlab\mobile\test\hookTest,,hookTest
C:\gitlab\mobile\test\testProject,,testProject
C:\gitlab\MySpace\codec,https://gitlab.transics-cicd.aws.zf.com/skytools/codec.git,codec
C:\gitlab\MySpace\fixchecksums,https://gitlab.transics-cicd.aws.zf.com/skytools/fixchecksums.git,fixchecksums
C:\gitlab\MySpace\qmonit,https://gitlab.transics-cicd.aws.zf.com/skytools/qmonit.git,qmonit
C:\gitlab\MySpace\qttranslator,https://gitlab.transics-cicd.aws.zf.com/skytools/qttranslator.git,qttranslator
C:\gitlab\MySpace\quattrologanalyzer,https://gitlab.transics-cicd.aws.zf.com/skytools/quattrologanalyzer.git,quattrologanalyzer
C:\gitlab\MySpace\skymessageparser,https://gitlab.transics-cicd.aws.zf.com/skytools/skymessageparser.git,skymessageparser
C:\gitlab\MySpace\txskytrucksimulator,https://gitlab.transics-cicd.aws.zf.com/skytools/txskytrucksimulator.git,txskytrucksimulator
C:\gitlab\MySpace\txskyudplogviewer,https://gitlab.transics-cicd.aws.zf.com/skytools/txskyudplogviewer.git,txskyudplogviewer
C:\gitlab\MySpace\uls-manager,https://gitlab.transics-cicd.aws.zf.com/skytools/uls-manager.git,uls-manager
C:\gitlab\odyssey-core-layer\core-acr-playground,https://gitlab.transics-cicd.aws.zf.com/core/alarmcenter/core-acr-playground.git,core-acr-playground
C:\gitlab\odyssey-core-layer\core-activity-definition-manager,https://gitlab.transics-cicd.aws.zf.com/core/activity-definition-management/core-activity-definition-manager.git,core-activity-definition-manager
C:\gitlab\odyssey-core-layer\core-asset-tracking-documentation,https://gitlab.transics-cicd.aws.zf.com/core/assettracking/core-asset-tracking-documentation.git,core-asset-tracking-documentation
C:\gitlab\odyssey-core-layer\core-datahub-simple-kafka-producer,https://gitlab.transics-cicd.aws.zf.com/core/datahub/core-datahub-simple-kafka-producer.git,core-datahub-simple-kafka-producer
C:\gitlab\odyssey-core-layer\core-datahub-subscription-processor,https://gitlab.transics-cicd.aws.zf.com/core/datahub/core-datahub-subscription-processor.git,core-datahub-subscription-processor
C:\gitlab\odyssey-core-layer\core-scheduled-trips,https://gitlab.transics-cicd.aws.zf.com/core/planning/core-scheduled-trips.git,core-scheduled-trips
C:\gitlab\odyssey-core-layer\core-sensor-processor,https://gitlab.transics-cicd.aws.zf.com/core/sensormodule/core-sensor-processor.git,core-sensor-processor
C:\gitlab\odyssey-core-layer\core-sensors-configuration-api,https://gitlab.transics-cicd.aws.zf.com/core/sensormodule/core-sensors-configuration-api.git,core-sensors-configuration-api
C:\gitlab\odyssey-core-layer\core-spot-subcontracting,https://gitlab.transics-cicd.aws.zf.com/core/planning/core-spot-subcontracting.git,core-spot-subcontracting
C:\gitlab\odyssey-core-layer\core-teamsmanager-api,https://gitlab.transics-cicd.aws.zf.com/core/teams/core-teamsmanager-api.git,core-teamsmanager-api
C:\gitlab\odyssey-core-layer\core-tnt-playground,https://gitlab.transics-cicd.aws.zf.com/core/assettracking/core-tnt-playground.git,core-tnt-playground
C:\gitlab\odyssey-core-layer\core-unit-pair-processor,https://gitlab.transics-cicd.aws.zf.com/core/unit-manager/core-unit-pair-processor.git,core-unit-pair-processor
C:\gitlab\odyssey-core-layer\core-workflow-manager,https://gitlab.transics-cicd.aws.zf.com/core/workflow-management/core-workflow-manager.git,core-workflow-manager
C:\gitlab\odyssey-core-layer\doc-asyncapi-internal,https://gitlab.transics-cicd.aws.zf.com/framework/doc-asyncapi-internal.git,doc-asyncapi-internal
C:\gitlab\odyssey-core-layer\doc-external-oas-odyssey,https://gitlab.transics-cicd.aws.zf.com/odyssey-ui-layer/doc-external-oas-odyssey.git,doc-external-oas-odyssey
C:\gitlab\odyssey-core-layer\doc-oas-odyssey,https://gitlab.transics-cicd.aws.zf.com/framework/doc-oas-odyssey.git,doc-oas-odyssey
C:\gitlab\odyssey-core-layer\Framework\lib-extensions-aws-sqs,https://gitlab.transics-cicd.aws.zf.com/core/framework/lib-extensions-aws-sqs.git,lib-extensions-aws-sqs
C:\gitlab\odyssey-core-layer\framework-core-net,https://gitlab.transics-cicd.aws.zf.com/framework/framework-core-net.git,framework-core-net
C:\gitlab\odyssey-core-layer\gitlab-cicd-templates,https://gitlab.transics-cicd.aws.zf.com/cloud-services/shared/gitlab-ci/gitlab-cicd-templates.git,gitlab-cicd-templates
C:\gitlab\odyssey-core-layer\import-user-management-data,https://gitlab.transics-cicd.aws.zf.com/core/master-data-import/import-user-management-data.git,import-user-management-data
C:\gitlab\odyssey-core-layer\kubectl-launcher,https://gitlab.transics-cicd.aws.zf.com/core/playground/cooper-playground/scripts/kubectl-launcher.git,kubectl-launcher
C:\gitlab\odyssey-core-layer\lib-extensions-aws-sqs,https://gitlab.transics-cicd.aws.zf.com/core/framework/lib-extensions-aws-sqs.git,lib-extensions-aws-sqs
C:\gitlab\odyssey-core-layer\lib-extensions-healthchecks,https://gitlab.transics-cicd.aws.zf.com/core/framework/lib-extensions-healthchecks.git,lib-extensions-healthchecks
C:\gitlab\odyssey-core-layer\lib-extensions-sensor-client,https://gitlab.transics-cicd.aws.zf.com/framework/lib-extensions-sensor-client.git,lib-extensions-sensor-client
C:\gitlab\odyssey-core-layer\lib-extensions-unleash,https://gitlab.transics-cicd.aws.zf.com/core/framework/lib-extensions-unleash.git,lib-extensions-unleash
C:\gitlab\odyssey-core-layer\lib-extensions-who-sees-what,https://gitlab.transics-cicd.aws.zf.com/core/framework/lib-extensions-who-sees-what.git,lib-extensions-who-sees-what
C:\gitlab\odyssey-core-layer\lib-lamba-net-wrapper,https://gitlab.transics-cicd.aws.zf.com/framework/lib-lamba-net-wrapper.git,lib-lamba-net-wrapper
C:\gitlab\odyssey-core-layer\module-alarm-center,https://gitlab.transics-cicd.aws.zf.com/core/alarmcenter/module-alarm-center.git,module-alarm-center
C:\gitlab\odyssey-core-layer\rat-2,https://gitlab.transics-cicd.aws.zf.com/core/assettracking/module-realtime-asset-tracking.git,rat-2
C:\gitlab\odyssey-core-layer\terraform-gitlab-automation,https://gitlab.transics-cicd.aws.zf.com/cloud-services/gitlab/terraform-gitlab-automation.git,terraform-gitlab-automation
C:\gitlab\odyssey-core-layer\terraform-module-aws-api-gateway-lambda,https://gitlab.transics-cicd.aws.zf.com/cloud-services/shared/terraform/terraform-module-aws-api-gateway-lambda.git,terraform-module-aws-api-gateway-lambda
C:\gitlab\odyssey-core-layer\terraform-module-aws-lambda,https://gitlab.transics-cicd.aws.zf.com/cloud-services/shared/terraform/terraform-module-aws-lambda.git,terraform-module-aws-lambda
C:\gitlab\odyssey-core-layer\tools-asyncapi,https://gitlab.transics-cicd.aws.zf.com/framework/tools-asyncapi.git,tools-asyncapi
C:\gitlab\odyssey-core-layer\unleash-client-dotnet,https://github.com/Unleash/unleash-client-dotnet.git,unleash-client-dotnet
C:\gitlab\odyssey-core-layer\websockets-push-service,https://gitlab.transics-cicd.aws.zf.com/core/websocketspushservice/websockets-push-service.git,websockets-push-service
C:\gitlab\odyssey-core-layer\zf-helm-odyssey,https://gitlab.transics-cicd.aws.zf.com/cloud-services/shared/helm/zf-helm-odyssey.git,zf-helm-odyssey
C:\gitlab\odyssey-ui-layer\app-react-admin,https://gitlab.transics-cicd.aws.zf.com/odyssey-ui-layer/app-react-admin.git,app-react-admin
C:\gitlab\odyssey-ui-layer\app-react-operations,https://gitlab.transics-cicd.aws.zf.com/odyssey-ui-layer/app-react-operations.git,app-react-operations
C:\gitlab\odyssey-ui-layer\doc-external-oas-odyssey,https://gitlab.transics-cicd.aws.zf.com/odyssey-ui-layer/doc-external-oas-odyssey.git,doc-external-oas-odyssey
C:\gitlab\odyssey-ui-layer\doc-oas-odyssey,https://gitlab.transics-cicd.aws.zf.com/framework/doc-oas-odyssey.git,doc-oas-odyssey
C:\gitlab\odyssey-ui-layer\framework-react-component-lib,https://gitlab.transics-cicd.aws.zf.com/webui/framework-react-component-lib.git,framework-react-component-lib
C:\gitlab\odyssey-ui-layer\mf-react-activities,https://gitlab.transics-cicd.aws.zf.com/odyssey-ui-layer/mf-react-activities.git,mf-react-activities
C:\gitlab\odyssey-ui-layer\mf-react-admin-users,https://gitlab.transics-cicd.aws.zf.com/odyssey-ui-layer/mf-react-admin-users.git,mf-react-admin-users
C:\gitlab\odyssey-ui-layer\mf-react-alarms,https://gitlab.transics-cicd.aws.zf.com/odyssey-ui-layer/mf-react-alarms.git,mf-react-alarms
C:\gitlab\odyssey-ui-layer\mf-react-integrator,https://gitlab.transics-cicd.aws.zf.com/odyssey-ui-layer/mf-react-integrator.git,mf-react-integrator
C:\gitlab\odyssey-ui-layer\mf-react-integrators,https://gitlab.transics-cicd.aws.zf.com/odyssey-ui-layer/warriors/mf-react-integrators.git,mf-react-integrators
C:\gitlab\odyssey-ui-layer\mf-react-messaging-web,https://gitlab.transics-cicd.aws.zf.com/odyssey-ui-layer/messaging/mf-react-messaging-web.git,mf-react-messaging-web
C:\gitlab\odyssey-ui-layer\mf-react-notifications,https://gitlab.transics-cicd.aws.zf.com/odyssey-ui-layer/mf-react-notifications.git,mf-react-notifications
C:\gitlab\odyssey-ui-layer\mf-react-places,https://gitlab.transics-cicd.aws.zf.com/odyssey-ui-layer/mf-react-places.git,mf-react-places
C:\gitlab\odyssey-ui-layer\mf-react-tdm,https://gitlab.transics-cicd.aws.zf.com/odyssey-ui-layer/mf-react-tdm.git,mf-react-tdm
C:\gitlab\odyssey-ui-layer\mf-react-topbar,https://gitlab.transics-cicd.aws.zf.com/odyssey-ui-layer/mf-react-topbar.git,mf-react-topbar
C:\gitlab\odyssey-ui-layer\mf-react-track-and-trace,https://gitlab.transics-cicd.aws.zf.com/odyssey-ui-layer/mf-react-track-and-trace.git,mf-react-track-and-trace
C:\gitlab\odyssey-ui-layer\mf-react-trips,https://gitlab.transics-cicd.aws.zf.com/odyssey-ui-layer/mf-react-trips.git,mf-react-trips
C:\gitlab\odyssey-ui-layer\mf-react-unit-management,https://gitlab.transics-cicd.aws.zf.com/odyssey-ui-layer/unit-management/mf-react-unit-management.git,mf-react-unit-management
C:\gitlab\odyssey-ui-layer\mf-react-workflows,https://gitlab.transics-cicd.aws.zf.com/odyssey-ui-layer/mf-react-workflows.git,mf-react-workflows
C:\gitlab\odyssey-ui-layer\react-charts-lib,https://gitlab.transics-cicd.aws.zf.com/webui/react-charts-lib.git,react-charts-lib
C:\gitlab\odyssey-ui-layer\react-icons-lib,https://gitlab.transics-cicd.aws.zf.com/webui/react-icons-lib.git,react-icons-lib
C:\gitlab\odyssey-ui-layer\react-map-lib,https://gitlab.transics-cicd.aws.zf.com/webui/react-map-lib.git,react-map-lib
C:\gitlab\odyssey-ui-layer\template-react-mf,https://gitlab.transics-cicd.aws.zf.com/odyssey-ui-layer/templates/template-react-mf.git,template-react-mf
C:\gitlab\odyssey-ui-layer\template-react-mf-base-app,https://gitlab.transics-cicd.aws.zf.com/odyssey-ui-layer/templates/template-react-mf-base-app.git,template-react-mf-base-app
C:\gitlab\odyssey-ui-layer\terraform-module-aws-static-content,https://gitlab.transics-cicd.aws.zf.com/webui/terraform/terraform-module-aws-static-content.git,terraform-module-aws-static-content
C:\gitlab\odyssey-ui-layer\vite-plugins,https://gitlab.transics-cicd.aws.zf.com/webui/vite-plugins.git,vite-plugins
C:\gitlab\odyssey-ui-layer\zf-terraform-franklin-modules,https://gitlab.transics-cicd.aws.zf.com/core/playground/zf-terraform-franklin-modules.git,zf-terraform-franklin-modules
